1767271;北京古代建筑博物馆;人均：14元;;环境：9.3;服务：9.1;五星商户;东经路21号先农坛内;116.392017;39.877581
16688213;源升号;人均：-;;环境：7.4;服务：7.4;准四星商户;前门大街红星二锅头旁;116.398305;39.894218
20843937;1920美术馆;人均：-;;环境：7.5;;准四星商户;南新华街177—2号瑞祥大厦一层(近南新华街);116.38445;39.89034
66532252;老窑瓷博物馆;人均：-;;环境：7.4;服务：7.4;准四星商户;铁树斜街(西口公共厕所旁);116.38803;39.892852
2489671;大千画廊(南新华街店);人均：-;;环境：7.0;;准四星商户;南新华街17-2号(近琉璃厂);116.3843012;39.8973048
8901230;李世南艺术馆;人均：-;;环境：7.0;;准四星商户;琉璃厂东街106号;116.385875;39.895168
11256556;周博工笔人物画展;人均：-;;环境：0.0;;该商户暂无星级;南新华街11号;116.383944999926;39.898615000015
16825694;中联国益美术馆;人均：-;;环境：0.0;;该商户暂无星级;南新华街84号;116.38493191189;39.89227593316
70314374;芷兰画廊;人均：-;;环境：0.0;;该商户暂无星级;琉璃厂南新华街前孙公园9号;116.38446763157845;39.892729672621655
